"data_id","language","form","age","gender","mom_ed","comprehension","production"
88596,"English (British)","TEDS Twos",23,"Female","Primary",38,38
88597,"English (British)","TEDS Twos",24,"Male","Some Secondary",68,68
88598,"English (British)","TEDS Twos",24,"Female","Some Secondary",62,62
88599,"English (British)","TEDS Twos",24,"Female","Secondary",58,58
88600,"English (British)","TEDS Twos",24,"Male","Secondary",50,50
88601,"English (British)","TEDS Twos",23,"Male","None",26,26
88602,"English (British)","TEDS Twos",23,"Male","None",28,28
88603,"English (British)","TEDS Twos",24,"Female","Primary",33,33
88604,"English (British)","TEDS Twos",24,"Female","Primary",32,32
88605,"English (British)","TEDS Twos",24,"Male","Some Secondary",58,58
88606,"English (British)","TEDS Twos",24,"Female","Some Secondary",58,58
88607,"English (British)","TEDS Twos",24,"Male","Some Secondary",36,36
88608,"English (British)","TEDS Twos",24,"Male","Some Secondary",35,35
88609,"English (British)","TEDS Twos",24,"Female","Secondary",39,39
88610,"English (British)","TEDS Twos",24,"Female","Secondary",57,57
88611,"English (British)","TEDS Twos",23,"Female","Some Secondary",70,70
88612,"English (British)","TEDS Twos",23,"Female","Some Secondary",69,69
88613,"English (British)","TEDS Twos",28,"Female","None",36,36
88614,"English (British)","TEDS Twos",28,"Male","None",37,37
88615,"English (British)","TEDS Twos",24,"Female","Some College",62,62
88616,"English (British)","TEDS Twos",24,"Female","Some College",56,56
88617,"English (British)","TEDS Twos",23,"Male","Some Secondary",38,38
88618,"English (British)","TEDS Twos",23,"Male","Some Secondary",43,43
88619,"English (British)","TEDS Twos",24,"Male","Secondary",31,31
88620,"English (British)","TEDS Twos",24,"Female","Secondary",31,31
88621,"English (British)","TEDS Twos",24,"Female","Secondary",56,56
88622,"English (British)","TEDS Twos",24,"Male","Secondary",54,54
88623,"English (British)","TEDS Twos",24,"Male","Some College",60,60
88624,"English (British)","TEDS Twos",24,"Female","Some College",61,61
88625,"English (British)","TEDS Twos",29,"Female","Graduate",91,91
88626,"English (British)","TEDS Twos",29,"Male","Graduate",92,92
88627,"English (British)","TEDS Twos",24,"Female","Some Secondary",51,51
88628,"English (British)","TEDS Twos",24,"Female","Some Secondary",51,51
88629,"English (British)","TEDS Twos",24,"Female","Some Secondary",20,20
88630,"English (British)","TEDS Twos",23,"Female","Some Secondary",22,22
88631,"English (British)","TEDS Twos",24,"Male","None",40,40
88632,"English (British)","TEDS Twos",23,"Female","None",70,70
88633,"English (British)","TEDS Twos",25,"Female","College",30,30
88634,"English (British)","TEDS Twos",25,"Male","College",31,31
88635,"English (British)","TEDS Twos",23,"Male","Some Secondary",49,49
88636,"English (British)","TEDS Twos",23,"Female","Some Secondary",53,53
88637,"English (British)","TEDS Twos",29,"Female","Primary",77,77
88638,"English (British)","TEDS Twos",29,"Female","Primary",80,80
88639,"English (British)","TEDS Twos",29,"Male","None",0,0
88640,"English (British)","TEDS Twos",29,"Male","None",0,0
88641,"English (British)","TEDS Twos",26,"Male","None",5,5
88642,"English (British)","TEDS Twos",26,"Male","None",14,14
88643,"English (British)","TEDS Twos",24,"Male","Secondary",25,25
88644,"English (British)","TEDS Twos",24,"Male","Secondary",32,32
88645,"English (British)","TEDS Twos",24,"Female","College",10,10
88646,"English (British)","TEDS Twos",24,"Female","College",10,10
88647,"English (British)","TEDS Twos",24,"Male","Some College",68,68
88648,"English (British)","TEDS Twos",24,"Female","Some College",67,67
88649,"English (British)","TEDS Twos",23,"Male","Some Secondary",11,11
88650,"English (British)","TEDS Twos",23,"Male","Some Secondary",13,13
88651,"English (British)","TEDS Twos",24,"Male","Some Secondary",14,14
88652,"English (British)","TEDS Twos",24,"Male","Some Secondary",36,36
88653,"English (British)","TEDS Twos",25,"Male","Some Secondary",78,78
88654,"English (British)","TEDS Twos",25,"Male","Some Secondary",78,78
88655,"English (British)","TEDS Twos",25,"Male","Primary",14,14
88656,"English (British)","TEDS Twos",24,"Male","Primary",57,57
88657,"English (British)","TEDS Twos",24,"Male","College",66,66
88658,"English (British)","TEDS Twos",24,"Female","College",74,74
88659,"English (British)","TEDS Twos",23,"Female","None",66,66
88660,"English (British)","TEDS Twos",24,"Female","None",100,100
88661,"English (British)","TEDS Twos",23,"Female","Some College",91,91
88662,"English (British)","TEDS Twos",23,"Female","Some College",92,92
88663,"English (British)","TEDS Twos",23,"Male","Some Secondary",6,6
88664,"English (British)","TEDS Twos",23,"Male","Some Secondary",6,6
88665,"English (British)","TEDS Twos",24,"Female","Some Secondary",62,62
88666,"English (British)","TEDS Twos",24,"Female","Some Secondary",67,67
88667,"English (British)","TEDS Twos",23,"Male","Some Secondary",96,96
88668,"English (British)","TEDS Twos",24,"Male","Some Secondary",93,93
88669,"English (British)","TEDS Twos",27,"Male","Some Secondary",58,58
88670,"English (British)","TEDS Twos",27,"Female","Some Secondary",76,76
88671,"English (British)","TEDS Twos",24,"Female","College",55,55
88672,"English (British)","TEDS Twos",24,"Male","College",27,27
88673,"English (British)","TEDS Twos",25,"Male","Some Secondary",5,5
88674,"English (British)","TEDS Twos",25,"Female","Some Secondary",13,13
88675,"English (British)","TEDS Twos",25,"Male","Some Secondary",8,8
88676,"English (British)","TEDS Twos",25,"Male","Some Secondary",100,100
88677,"English (British)","TEDS Twos",25,"Female","Some Secondary",16,16
88678,"English (British)","TEDS Twos",25,"Female","Some Secondary",16,16
88679,"English (British)","TEDS Twos",26,"Male","Some Secondary",37,37
88680,"English (British)","TEDS Twos",26,"Male","Some Secondary",43,43
88681,"English (British)","TEDS Twos",34,"Male","Primary",42,42
88682,"English (British)","TEDS Twos",34,"Male","Primary",41,41
88683,"English (British)","TEDS Twos",24,"Female","College",31,31
88684,"English (British)","TEDS Twos",24,"Male","College",26,26
88685,"English (British)","TEDS Twos",23,"Male","Primary",95,95
